Analyst,Analyst Role,Question,Executive,Executive Role Type,Response,filename,Quarter,call_date
Steven Chubak,"Analyst, Wolfe Research LLC","No need to apologize, Jeremy. That was a really helpful perspective. Maybe just for my follow-up on NII, you've been very consistent just in flagging the risk related to NII overearning, especially in light of potential deposit attrition as well as repricing headwinds. In the second quarter, we did see at least some moderation in repricing pressures, deposit balances were also more resilient in with a seasonally weak 5",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Interesting question, Steve. So, let's talk about deposit balances. So, yeah, I see your point about how balance pressures are slightly abating. When you look at the system as a whole, just to go through it, QT is still a bit of a headwind, loan growth is modest and not enough to offset that. And our PE seems to have settled in roughly at its current levels, and there are reasons to believe that it might not go down that much more, although that could always change and that could supply extra reserves into the system. But on balance net across all those various effects, we still think that there are net headwinds to deposit balances. So, when we think of our balance outlook, we see it as flat to slightly down maybe with our sort of market share and growth ambitions offsetting those system-wide headwinds. So, in terms of normalizing higher, I guess it depends on relative to what, but I think it's definitely too early to be sort of calling the end of the overearning narrative or the normalization narrative. Clearly, the main difference in our current guidance relative to what we had earlier in the year, which implied a lot more sequential decline, is just the change in the Fed outlook. So, two cuts versus six cuts is the main difference there. But obviously, based on the latest inflation data and so on, you could easily get back to a situation with a lot more cuts in the yield curve. So, we'll see how it goes and in the end, we're kind of focused on, on just running the place, recognizing, and trying not to be distracted by what remains some amount of overearning, whatever it is.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Saul Martinez,"Analyst, HSBC Securities (USA), Inc.","Hi, good morning. Thanks for taking my question. Jeremy, can you give an update on the stress capital buffer? You noted obviously that you think there is an error in the Fed's calculation due to OCI. Can you just give us a sense of what the dialogue with the Fed looks like? Is there a process to modify the SCB higher and if you could give us a sense of what that process looks like?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So, I'm not going to comment about any conversations with the Fed – not to confirm or deny that they even exist. That stuff is private. And so, then if you talk about, like the timing here, right, so you know that the stress capital buffer that's been released at 3.3% is a preliminary number. By rule, the Fed has to release that by August 31. It may come sooner. You talked about an error in the calculation. We haven't used that word. What we know, what we believe rather is that the amount of OCI gain that came through the Fed's disclosed results looked non- intuitively high to us. And if you adjust that in ways that we think are reasonable, you would get a slightly higher stress capital buffer. Whether the Fed agrees and whether they decide to make that change or not is up to them, and we'll see what happens. I think the larger point is that if you look at the industry as a whole and if you sort of put us into that with some higher pro forma'd SCB, whatever it might suitably be, you actually see once again quite a bit of volatility in the year-on-year change in the stress capital buffer for many firms. And just sort of reiterating and another example of what we've said a lot over the years that it's volatile, it's untransparent, it makes it very hard to manage capital of a bank. It leads to excessively high management buffers, and we think it's really not a great way to do things. So, I'll leave it at that. 6",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Saul Martinez,"Analyst, HSBC Securities (USA), Inc.","Okay, got it. That's helpful. Just following up on capital returns on Steve's question, I think you highlighted in response it's a matter of when, not if, and obviously, Jamie's not there, you can't speak for Jamie, but seems to have shown limited enthusiasm for a special dividend or buybacks at current valuations. Can you just give us a sense of how you're thinking about the various options? Any updated thoughts on a special dividend? And can you do other things like, for example, have a material increase in your dividend payout, sort of a step function increase, where keep that flat and grow into that, grow your earnings into that over time? Can you just maybe give us a sense of how you're thinking about what options you have available to deploy that capital?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Sure. Yeah. I mean, I would direct you to read, I'm sure you have, Jamie's comments at the industry conference, where he participated the week after Investor Day because he went into just good amount of detail on this stuff, addressing some of these points. And I think this comment there about the special dividend was that it's not really our preference. We hear from people that many of our investors wouldn't find that particularly appealing, and he said as much that it wouldn't be sort of our first choice. So, I think the larger point is just that, a little bit to your question, there are a number of tools in the toolkit and they're really the same tools that are part of our capital hierarchy. So, first and foremost, we're looking to deploy the capital into organic or inorganic growth. And then, the dividend, I think we're always going to want to keep it in that sort of, like sustainable and also sustainable in a stressed environment so that continues to be the way we think about that. And then, at the end of it, it's buybacks and Jamie's been on the record for over a decade, I think, over many shareholder letters, talking about how he thinks about price and buybacks and valuation and price is a factor. So, that's sort of the totality of the set of options, I guess.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Ken Usdin,"Analyst, Jefferies LLC","Thanks a lot. Good morning, Jeremy. Jeremy, great to see the progress on Investment Banking fees up sequentially and 50% year-over-year, and I saw you on the tape earlier just talking about still regulatory concerns a little bit in the advisory space and we clearly didn't see the debt pull-forward play through because your DCM was great again. I'm just wondering just where you feel the environment is relative to the potential and just where the dialogue is across the three main bucket areas in terms of, like how does this feel in terms of a current environment versus a potential environment that we could still see ahead. Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Thanks, Ken. It's progress, right? I mean, we're happy to see the progress. People have been talking about depressed banking fee wallet for some time and it's nice to see not only the year-on-year pop from a low base, but also a nice sequential improvement. So, that's the first thing to say. In terms of dialog and engagement, it's definitely elevated. So, the dialog on ECM is elevated, and the dialog on M&A is quite robust as well. So, all of those are good things that encourage us and make us hopeful that we could be seeing sort of a better trend in this space. But there are some important caveats. So, on the DCM side, yeah, we made pull-forward comments in the first quarter, but we still feel that this second quarter still reflects a bunch of pull-forward and therefore, we're reasonably cautious about the second half of the year. Importantly, a lot of the activity is refinancing activity as opposed to, for example, acquisition finance. So, the fact that M&A remains still relatively muted in terms of 7",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Ken Usdin,"Analyst, Jefferies LLC","Great. Thank you for all that, Jeremy. And just one on the Consumer side, just anything you're noticing in terms of people just have been waiting for this delinquency stabilization on the Credit Card side. Obviously, your loss rates are coming in as you expected, and we did see 30 days pretty flat and 90 days come down a little bit. Is that seasonal? Is it just a good rate of change trend? Any thoughts there? Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I still feel like when it comes to Card charge-offs and delinquencies, there's just not much to see there. It's still – it's normalization, not deterioration. It's in line with expectations. As I say, we always look quite closely inside the cohort, inside the income cohorts. And when you look in there, specifically, for example, on spend patterns, you can see a little bit of evidence of behavior that's consistent with a little bit of weakness in the lower income segments where you see a little bit of rotation on the spend out of discretionary into non-discretionary. But the effects are really quite subtle and in my mind definitely entirely consistent with the type of economic environment that we're seeing, which while very strong and certainly a lot stronger than anyone would have thought given the tightness of monetary conditions, say, like they've been predicting it a couple of years ago or whatever, you are seeing slightly higher unemployment, you are seeing moderating GDP growth. And so, it's not entirely surprising that you're seeing a tiny bit of weakness in some pockets of spend. So, it all kind of hangs together in what is in some sense actually not a very interesting story.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hi. Jeremy, you said it's too early to end the overearning narrative and you highlighted higher deposit costs and the impact of lower rates and lower NII and DCM pull-forward and credit costs going higher. Anything I'm missing in that list? And what would cause you to end the overearning narrative?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","No. Actually, I think that is the right list, Mike. I mean, frankly, I think one thing that would end the overearning narrative is if our annual returns were closer to 17%. I mean, to the extent that that is the through the cycle number that we believe and that we're currently producing more than that, that's one very simple way to look at that. But the pieces of that are the pieces that you talked about and the single most important piece is the deposit margin. Our deposit margins are well above historical norms, and that is a big part of the reason that we still are emphasizing the overearning narrative.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Your 17% through the cycle ROTCE expectation, what is the CET1 ratio that you assume for that?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","I mean, we would generally assume requirements plus a reasonable buffer, which, depending on the shape of rules, could be a little bit smaller or a little bit bigger and no small part is a function of the volatility of those rules, which goes back to my prior comments on SCB and CCAR. But obviously, as you well know, what actually matters is less the ratio and more the dollars and at this point, the dollars are very much a function of where rules land and where the RWA lands and obviously, things like GSIB recalibration and so on. So, we've done a bunch of scenario analysis along the lines of what I did at Investor Day that informs those numbers. But that is obviously one big element of uncertainty behind that 17%, which is why at Investor Day when we talked about it, both Daniel and I were quite specific about saying that we thought 17% was still achievable, assuming a reasonable outcome on the Basel III Endgame.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Let me just zoom out for one more question on the return target. I mean, when I asked Jamie at the 2013 Investor Day, would it make sense to have 13.5% capital, he was basically telling me to take a hike, right? And now, you have 15.3% capital and you're saying, well, we might want to have a lot more capital here. I mean, at some point, if you're spending $17 billion a year to improve the company, if you're gaining share with digital banking, if you're automating the back office, if you're moving ahead with AI, if you're doing all these things that I think you say others aren't doing, why wouldn't those returns go higher over time or do you just assume you'll be competing those benefits away? Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I mean, I think in short, Mike, and we've talked about this a lot and Jamie's talked about this a lot, it's a very, very, very competitive market, and we're very happy with our performance. We're very happy with the share we've taken, and 17% is like an amazing number actually. And like, to be able to do that, given how robust the competition is from banks, from non-banks, from U.S. banks, from foreign banks, and all of the different businesses that we compete in, is something that we're really proud of. So, the number has a range around it, obviously. So, it's not a promise, it's not a guarantee, and it can fluctuate. But we're very proud to be in the ballpark of being able to think that 11",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","So, I did want to ask one drill-down question on 2Q, and it's related to the dollar amount of buybacks that you did do. I think in the press release, right, in the slide deck, it's $4.9 billion common stock net repurchases. So, the question here is, what's the governor for you on how much to do every quarter? And, I mean, I understand it's a function of, okay, how much do we organically grow. But even with that, so you get the organic growth, which you had some nice movement there. But you do the organic growth and then is it how much do we earn and we want to buy back our earnings or how should we be thinking about what that repurchase volume should be looking like over time? And I remember over at Investor Day the whole debate around I don't want to buy back my stock, but we are, right? So, I get this question from investors quite a bit of how should we be thinking about how you think about what the right amount is to be doing here.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. That's a very good and fair question, Betsy. So, let me try to unpack it to the best of my ability. So, in no particular order, one thing that we've really tried to emphasize in a number of different settings, including in our recent 10-Qs actually is that we don't want to get into the business of guiding on buybacks. So, we're going to buy back whatever we think makes sense in the current moment sort of and we reserve the right to sort of change that at any time. So, I recognize that not everyone loves that, but that is kind of a philosophical belief and so, I might as well say it explicitly. It was pretty clear in the Q also, but I'm just going to say that again. So, that's point one. But having said that, let me nonetheless try to address your point on framework and governors. So, generally speaking, we think it doesn't make sense to sort of exit the market entirely unless the conditions are much more unusual than they are right now, let's say. Obviously, when for whatever reason, if we ever need to build capital in a hurry, we've done it before and we're always comfortable suspending buybacks entirely. But I think some modest amount of buybacks is a reasonable thing to do when you're generating your kind of capital. And so, we were talking before about this $2 billion pace. We're kind of trying to move away from this notion of a pace, but that's where that idea comes from, let's put it that way. You talked about the $4.9 billion, which I recognize may seem like a little bit of a random number. But where that actually comes from is the other statement that we've made that we have these significant item gains from Visa. And if you think about what that means, it means that we have, post the acceptance of the exchange offer, a meaningful long position and a liquid large cap financial stock, i.e. Visa, which realistically is highly correlated to our own stock. And so, in some sense, why carry that instead of just buying back JPMorgan stock. So, we talked about – Jamie talked about, as we liquidate the Visa, deploying those proceeds into JPM and that's what we did this quarter. So, that is why the $4.9 billion is a little higher, and it's consistent with my comments at Investor Day around having slightly increased the amount of buybacks. 12",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Hi, Jeremy. How are you?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Hi, Gerard.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Jeremy, I know you touched on deposits earlier in the call in response to a question. I noticed on the average balances the non-interest- bearing deposits were relatively stable quarter-to-quarter versus prior quarters when they've steadily declined. And this is one of the areas, of course, investors are focused on in terms of the future of the net interest margin for you and your peers. Can you elaborate, if you can, what you're seeing in that non-interest-bearing deposit account? I know this is average and not period, and the end number may actually be lower. But what are you guys seeing here?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Good question, Gerard. I have to be honest, I hadn't focused on that particular sequential explain, i.e. quarter-on-quarter change and average non-interest-bearing deposits. But I think the more important question is the big picture question, which is what do we expect? How are we thinking about ongoing migration of non-interest-bearing into interest-bearing in the current environment and how that affects our NII outlook and our expectation for weighted average rate paid on deposits? And the answer to that question is that, we do continue to expect that migration to happen. So, if you think about it, in the Wholesale space, you have a bunch of clients with some balances and non-interest-bearing accounts, and over time for a variety of reasons, we do see them moving those balances into interest-bearing. So, we do continue to expect that migration to happen and therefore, that will be a source of headwinds. And that migration sometimes happens internally, i.e. out of non-interest-bearing into interest-bearing or into CDs. Sometimes, it goes into money markets or into investments, which is what we see happening in our Wealth Management business and some of it does leave the company. But one of the things that we're encouraged by is the extent to which we are actually capturing a large portion of that yield- seeking flow through CDs and money market offerings, et cetera, across our various franchises. So, big picture. I do think that migration out of 13",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Very good. And as a follow-up, you've been very clear about the Consumer Credit Card charge-offs and delinquency levels, and we all know about the Commercial Real Estate Office. And you always talk about overearning on net interest income, of course. One of the great credit quality stories for everyone, including yourselves, is the C&I portfolio, how strong it's been in this elevated rate environment? And I know your numbers are still quite low, but in the Corporate and Investment Bank, you had about a $500 million pickup in non-accrual loans. Can you share with us what are you seeing in C&I? Are there any early signs of cracks or anything? And, again, I know your numbers are still good, but I'm just trying to look forward to see if there's something here over the next 12 months or so.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. It's a good question. I think the short answer is no. We're not really seeing early signs of cracks in C&I. I mean, yes, I agree with you, like the C&I charge-off rate has been very, very low for a long time. I think we emphasized that at last year's Investor Day, if I remember correctly. I think the C&I charge-off rate we've seen in 10 years was something like literally zero. So, that is clearly very low by historical standards. And while we take a lot of pride in that number and I think it reflects the discipline in our underwriting process and the strength of our credit culture across the bankers and the risk team, that's not – we don't actually run that franchise to like a zero loss expectation. So, you have to assume there will be some upward pressure on that. But in any given quarter, the C&I numbers tend to be quite lumpy and quite idiosyncratic. So, I don't think that anything in the current quarter's results is indicative of anything broader, and I haven't heard anyone internally talk that way, I would say.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Erika Najarian,"Analyst, UBS Securities LLC","Hi, good morning. I just had one clean-up question, Jeremy. The consensus provision for 2024 is $10.7 billion. Could you maybe clarify for once and for all sort of Jamie's comments at an industry conference earlier and try to sort of triangulate if that $10.7 billion provision is appropriate for the growth level that you are planning for in Card?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Happy to clarify that. So, Jamie's comments were that the allowance – the build and the Card allowance, so we're talking about Card specifically, we expected something like $2 billion for the full year. As I sit here today, our expectation for that number is actually slightly higher, but it's in the ballpark. And I think in terms of what that means for the consensus on the overall allowance change for the year, last time I checked, it still looked a little low on that front. So, who knows what it'll actually wind up being, but that remains our view. One question that we've gotten is how to reconcile that build to the 12% growth in OS that we've talked about because it seems like a little bit high relative to what you would have otherwise assumed if you apply some sort of a standard coverage ratio to that growth. But the reason 14",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
Jim Mitchell,"Analyst, Seaport Global Securities LLC","Oh, hey, good morning. Maybe just one last question on sort of deploying excess capital. It seems like the two primary ways to do that organically would be through the trading book or the loan book. So, maybe two questions there. One, trading assets were up 20% year-over- year. Is that you leaning into it or just a function of demand? And is there further opportunities to grow that? And then, secondly, outside of Card, loan demand has been quite weak and any thoughts from you on if you're seeing any change in demand or how you're thinking about loan demand going forward? Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Thanks, Jim. Good questions. So, yeah, trading assets have been up. That is basically client activity, primarily secured financing-related sort of matchbook repo-type stuff and similar things that are – gross up the balance sheet quite a bit, but are quite low risk and therefore, quite low RWA intensity. So, while our ability to supply that financing to clients is something that we're happy about and it's very much represents us leaning into the franchise to serve our clients. It's not really particularly RWA and therefore, capital intensive and therefore, doesn't really reflect an aggressive choice on our part to deploy capital, so to speak. On the loan demand front, yeah, I mean, unfortunately, I just don't have much new to say there on loan demand, meaning, to your point, loan demand remains quite muted everywhere except Card. Our Card business is, of course, in no way capital constrained. So, whatever growth makes sense there in terms of our customer franchise and our ability to acquire accounts and retain accounts and what fits inside our credit risk appetite, is growth that's going to make sense. And so, we're very happy to deploy capital to that. But it's not constrained by our willingness or ability to deploy capital to that. And, of course, for the rest of the loan space, the last thing that we're going to do is have the excess capital, meaning that we lean into lending that is not inside our risk appetite or inside our credit box, especially in a world where spreads are quite compressed and terms are under pressure. So, there's always a balance between capital deployment and assessing economic risk rationally and frankly, that is, in some sense, a microcosm of the larger challenge that we have right now. When I talked about if there was ever a moment where the opportunity cost of not deploying the capital relative to how attractive the opportunities outside the walls of the company are, now would be it in terms of being patient. That's a little bit one example of what I was referring to.",jpm-2q24-earnings-call-transcript-final.pdf,2Q24,2024-07-12
John McDonald,"Analyst, Autonomous Research","Hi, good morning. Jeremy, I was wondering if you could give us a little more color in what you're seeing so far on deposit reprice and migration. What's been better than expected so far on that front? And how do you see higher-for-longer rates potentially impacting deposit reprice pressure?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Sure. Thanks, John. I think the themes are pretty much the same as we've seen in prior quarters. So, as we talked a little bit about on the press call, we've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable and we do think that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future. And, of course, that hasn't happened yet this year, so that's one factor. In the meantime, the CD strategy is working well. We're getting – continue to get very good feedback from the field and we're capturing money in motion, and so we're seeing the sort of internal migration and the associated slow increase in deposit rate paid as a result of CD migration. But that's sort of working as we would have hoped and so everything is kind of playing out according to plan, I would say. In terms of higher-for-longer, I think it just means that there will continue to be upward pressure on deposit pricing both from internal migration and possibly moderate effects. And in the end, as we always say, we're going to price products as a function of the competitive market environment.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
John McDonald,"Analyst, Autonomous Research","And just as a follow up, it seems like you've done some securities repositioning the last couple quarters. How are you positioning the balance sheet in terms of cash and the securities portfolio, given your outlook for rates?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I think I would say that while we're not predicting higher rates, I don't know if Jamie will have something to say here, we believe in being prepared for it and that's been our position for some time and, of course, that's produced good results. And we continue to try to position ourselves so that neither have significantly higher rates nor significant lower rates present a particularly large challenge to the company. So probably at the margin, we're still a little bit biased for slightly higher rates. But, do keep in mind that when modeling the duration of the balance sheet, higher rates do extend the duration or rather shorten the duration on the deposit side, so that can be a factor as well.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Steven Chubak,"Analyst, Wolfe Research LLC","Hi. Jeremy, I was hoping to just inquire about the capital markets outlook. You cited improved activity levels in September. But given persistently higher rates, geopolitical tensions, and just poor performance of recent IPOs, how are you thinking about the outlook over the near to medium term? And how are you thinking about just the timing of an inflection activity?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Good question. I mean, as you know obviously, the current levels in investment banking remain quite depressed; certainly relative to the elevated levels we saw during the pandemic, but even relative to sort of 2019, which is what you might consider the last normal year. We do eventually think we'll recover to those levels and hopefully recover to above those levels, recognizing by the time it happens you will have had many years of economic growth in the meantime. And to be fair, while the current environment is a little bit complicated and mixed and there are some headwinds as you pointed out, things have improved a little bit. And I think I would say our banking team is a little bit more optimistic than they were last quarter. So it feels to me like a little bit of a slow grind with some positive momentum but obviously significant uncertainty in the outlook and some structural headwinds given lower levels of announced M&A and some regulatory headwinds on that side.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Steven Chubak,"Analyst, Wolfe Research LLC","Thanks for the color. Just for my follow up, on some of the regulatory commentary you provided. Certainly, a lot of helpful color in the slides, so thank you for that. If the proposal were to go through as written, what proportion of the inflation do you believe can be mitigated over time? And was also hoping you could provide some context as to the quantum of how you think CECL inclusion could potentially impact the SCB and CCAR.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. Those are all good questions, Steve. I think it's probably too early to try to provide that level of quantification on either front. If I start first with the Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes. Some of which are what you might call philosophical in nature or some of the things I highlighted in my prepared remarks, but some of them are sort of very technical in nature, including things that we think might actually be mistakes in the proposal. And so talking a lot about optimizing away stuff that might change just feels like a bit premature at this point. I would point out that given how significant operational risk RWA is as part of the proposal, that is, you can think of that sort of as a generic tax across the entire spectrum and is therefore in some sense non-optimizable. So, we feel that it's important to manage expectations about the level of optimization that's possible, once the rule is finalized and hopefully some of the technical items are addressed. Also, it depends on your definition of optimization. Sometimes I use the term costless optimization, whereas these technical fixes that don't affect revenue and don't require you to exit businesses; I think that type of optimization will be harder to find than it has been in the past. But as we pointed out, we may simply need to exit things. And that will be because it is better than the alternative, which would be to do activity that's shareholder value destructive but it won't be costless. A good example of that is the renewable energy tax credit investment business, which as a result of the quadrupling of the risk weight, may no longer make sense. Now, that's one that we hope will be changed but it's tricky because those are very long duration assets. So between now and the rule is finalized, it raises some questions about whether we want to put that stuff on the balance sheet. So, sorry a bit of a long answer but then, yeah, on quantifying CECL and CCAR, I think we better wait for that one. Cause given the relative lack of transparency that we have into the Fed's exact modeling, in terms of which quarter is the peak and so on and so forth, it's a little bit hard to predict what the exact impact of putting CECL and CCAR is going to be. We just know probabilistically that it will, like everything else these days, tend to push capital higher. 7",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Hey. Good morning. Just first question, Jeremy, on credit. I think you mentioned some of the reserves release was tied to the change in the central scenario. So just talk to us and remind us what the central scenario is today, what changed? And then in terms of fundamentally on credit, like where are you seeing softness either on the Consumer or the Commercial side?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So on the central scenario, you should read the research that gets put out by our competitors and our excellent research team. No, but in all seriousness, I think our U.S. economists had their central case outlook to include a very mild recession with I think two quarters of negative half a percent of GDP growth in the fourth quarter and first quarter of this year, and that then got revised out early this quarter to now have sort of modest growth I think around 1% for a few quarters into 2024. So, just flowing that through our process while acknowledging that we're still skewed to the downside, we're still reserved to a significantly higher unemployment rate on a weighted-average basis than is in the central case outlook. So that number we've sometimes given you is 5.5% this quarter. So, it's really not much more complicated than that. We're just kind of following the process. And I think your other question was where am I seeing softness in credit? And I think the answer to that is actually nowhere, roughly. We're certainly nowhere that's not expected, meaning, we continue to see the normalization story play out in Consumer more or less exactly as expected, and then of course, we are seeing a trickle of charge-offs coming through the office space. You see that in the charge-off number of the Commercial Bank, but the numbers are very small and more or less just the realization of the allowance that we've already built there.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","That's helpful. And just going back to the details you laid out on Basel Endgame, maybe on the philosophical side I think Jamie was speaking last month, said that we don't expect any changes but at the same time, you make everything that makes sense in terms of the pushback. Is it all falling on deaf ears from a shareholder perspective? Are we resigned to the fact that we are going to see more towards the worst-case outcome play out or is there some level of sort of meeting in the middle of the road as this thing gets finalized?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So I'll let Jamie speak for himself on that point, but our job is to advocate. We're not going to guess what the sentiment is in Washington. It's a thousand-page rule proposal, as you know. We've got the big team of very smart people studying it very closely. Interestingly, we noted recently that in some of the analysis that they did about the impact on lending, they sort of forgot about like – the Fed, in their preamble, they forgot about a $1 billion (sic) [trillion] of operational risk RWA. So it just highlights that there is the possibility, or seemed to have forgotten, they simply omitted the impact of the operational risk RWA on fees. So anyway, the point is it's long, it's complicated, it's technical. We do think there are probably some technical mistakes in there. We're not going to forcefully advocate on all of those. And while we disagree with a lot of this stuff, these are technical issues that should be, in some sense, resolved technically, and hopefully they'll listen. 8",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch",Got it. Thank you.,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Sorry, I'm just getting a correction in the room. I meant to say trillion.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Yeah, no. I got that. I got the trillion dollars. Yup, thanks.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Is that what we were talking about, actually?",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Good morning, Jeremy. How are you?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Hey, Gerard.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Jeremy, you guys have put up a really strong ROTCE number of 22% for the quarter. And when you dive into your different segments, what really jumps out at us is the 40% ex-First Republic ROE in Consumer & Community Banking. I know you and Jamie have talked about your over-earning on credit. We get that. But in view of all of these fintechs and all of these other nonbank competitors that we're all supposed to pick away at everybody's market share, you guys have put up great numbers here. What's the drivers behind an ROE? Even when you take that credit over-earning out, what's driving this business' profitability at such high levels?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah, Gerard. So I'd say a couple things there. So first, it's not just credit. It's also deposit margin, right? So when we talk about over-earning on NII, a disproportionate amount of that is coming out of the Consumer franchise for all of the reasons that we've talked about. But, I would also point out sometimes we don't like the word over-earning because right now, customers are happy and they're doing CDs. And the broader answer to your question about why we're able to be effectively really comes back to a decade, two decade long history of investing for the future and recognizing that there's a holistic value proposition here that includes branches, and the app, and all of the online services, and the entire suite of products and services that is around this enterprise which drives engagement and customer loyalty. And we're seeing some of the benefits of that now, although we're not complacent. The competition is still there. The fintechs are still there, and we know we need to continue investing to preserve the value. And it's also true that the particular circumstances of the current rate and credit environment mean that the earnings are a little bit above normal, but that core franchise is extremely robust. 11",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Very good. And then as a follow up, which ties into your answer on the deposit margin and consumer and your earlier comments you and Jamie about the internal debate inside JPMorgan about the migration of rates going higher on the funding side. Your non-interest-bearing deposits I think are around 28% of total deposits which is slightly above the 26% you guys had back in 2018 or 2019 or pre-pandemic. Is this expectation that you're going to see more of the non-interest-bearing deposits go into interest-bearing? Or, is it just the repricing of interest- bearing deposits that have some of your folks inside JPMorgan a little more cautious on that net interest income number?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. It's a good question, Gerard. I think it's a little bit bigger picture than that. And I'm not sure – I get your questions, a good question, but I'm not sure that the reported interest-bearing, non-interest-bearing split is the best lens to look at this through for a couple of reasons. So first, like between Wholesale and Retail, we've got some amount of non-interest-bearing and Wholesale that's part of the ECR product, so you see some dynamics there that play out. And in Consumer, in a world where savings is paying a relatively low-rate paid to cross-checking and savings, the migration dynamics are probably not that different right now. But then of course, even within Consumer across both consumers and small businesses, you've got slightly different dynamics in terms of how people manage their operating balances. So I would tend to zoom out a little bit and see this as a holistic answer, that's driven by internal migration from checking, savings to CDs, from ECR to interest-bearing and Wholesale and then our potential response to the rate environment, the competitive environment, the overall level of system-wide deposits in terms of product level reprice that may or may not happen in moments in the future.",jpm-3q23-earnings-call-transcript.pdf,3Q23,2023-10-13
